datetime,date,time,hour,weekday,count,status_label,status_code,status_min,status_max
2025-06-29 10:40:00,2025-06-29,10:40,10,Sunday,22,少し混んでいます（~30人）,3,21,30
2025-06-29 11:15:00,2025-06-29,11:15,11,Sunday,10,空いています（~10人）,5,0,10
2025-06-29 11:20:00,2025-06-29,11:20,11,Sunday,13,やや空いています（~20人）,4,11,20
2025-06-29 17:45:00,2025-06-29,17:45,17,Sunday,10,空いています（~10人）,5,0,10
2025-06-29 21:55:00,2025-06-29,21:55,21,Sunday,15,やや空いています（~20人）,4,11,20
2025-07-04 9:30:00,2025-07-04,9:30,9,Friday,4,空いています（~10人）,5,0,10
2025-07-04 11:20:00,2025-07-04,11:20,11,Friday,5,空いています（~10人）,5,0,10
2025-07-04 19:40:00,2025-07-04,19:40,19,Friday,33,混んでいます（~40人）,2,31,40
2025-07-05 10:25:00,2025-07-05,10:25,10,Saturday,22,少し混んでいます（~30人）,3,21,30
2025-07-05 10:35:00,2025-07-05,10:35,10,Saturday,21,少し混んでいます（~30人）,3,21,30
2025-07-05 19:15:00,2025-07-05,19:15,19,Saturday,30,少し混んでいます（~30人）,3,21,30
2025-07-06 11:15:00,2025-07-06,11:15,11,Sunday,25,少し混んでいます（~30人）,3,21,30
2025-07-06 13:25:00,2025-07-06,13:25,13,Sunday,12,やや空いています（~20人）,4,11,20
2025-07-06 16:40:00,2025-07-06,16:40,16,Sunday,30,少し混んでいます（~30人）,3,21,30
2025-07-06 17:45:00,2025-07-06,17:45,17,Sunday,27,少し混んでいます（~30人）,3,21,30
2025-07-07 9:35:00,2025-07-07,9:35,9,Monday,4,空いています（~10人）,5,0,10
2025-07-09 0:35:00,2025-07-09,0:35,0,Wednesday,10,空いています（~10人）,5,0,10
2025-07-10 16:40:00,2025-07-10,16:40,16,Thursday,15,やや空いています（~20人）,4,11,20
2025-07-12 08:45:00,2025-07-12,08:45,8,Friday,10,空いています（~10人）,5,0,10
2025-07-12 09:20:00,2025-07-12,09:20,9,Friday,10,空いています（~10人）,5,0,10
2025-07-12 16:55:00,2025-07-12,16:55,16,Friday,23,少し混んでいます（~30人）,3,21,30
2025-07-12 17:45:00,2025-07-12,17:45,17,Friday,15,やや空いています（~20人）,4,11,20
2025-07-12 17:55:00,2025-07-12,17:55,17,Friday,24,少し混んでいます（~30人）,3,21,30
2025-07-12 19:25:00,2025-07-12,19:25,19,Friday,20,やや空いています（~20人）,4,11,20
2025-07-12 21:00:00,2025-07-12,21:00,21,Saturday,26,少し混んでいます（~30人）,3,21,30
2025-07-13 10:40:00,2025-07-13,10:40,10,Sunday,25,少し混んでいます（~30人）,3,21,30
2025-07-13 11:45:00,2025-07-13,11:45,11,Sunday,19,やや空いています（~20人）,4,11,20
2025-07-13 13:45:00,2025-07-13,13:45,13,Sunday,20,やや空いています（~20人）,4,11,20
2025-07-13 14:15:00,2025-07-13,14:15,14,Sunday,21,少し混んでいます（~30人）,3,21,30
2025-07-24 07:30:00,2025-07-24,07:30,7,Thursday,10,空いています（~10人）,5,0,10
2025-07-24 08:40:00,2025-07-24,08:40,8,Thursday,9,空いています（~10人）,5,0,10
2025-07-24 08:55:00,2025-07-24,08:55,8,Thursday,20,空いています（~10人）,5,0,10
2025-07-24 09:25:00,2025-07-24,09:25,9,Thursday,5,空いています（~10人）,5,0,10
2025-07-24 09:40:00,2025-07-24,09:40,9,Thursday,11,空いています（~10人）,5,0,10
2025-07-24 10:15:00,2025-07-24,10:15,10,Thursday,13,空いています（~10人）,5,0,10
2025-07-24 11:10:00,2025-07-24,11:10,11,Thursday,9,空いています（~10人）,5,0,10
2025-07-24 15:00:00,2025-07-24,15:00,15,Thursday,19,空いています（~10人）,5,0,10
2025-07-24 15:20:00,2025-07-24,15:20,15,Thursday,23,少し混んでいます（~30人）,3,21,30
2025-07-24 16:35:00,2025-07-24,16:35,16,Thursday,32,混んでいます（~40人）,2,31,40
2025-07-24 16:45:00,2025-07-24,16:45,16,Thursday,27,少し混んでいます（~30人）,3,21,30
2025-07-24 17:05:00,2025-07-24,17:05,17,Thursday,23,少し混んでいます（~30人）,3,21,30
2025-07-24 17:20:00,2025-07-24,17:20,17,Thursday,18,空いています（~10人）,5,0,10
2025-07-24 17:25:00,2025-07-24,17:25,17,Thursday,18,空いています（~10人）,5,0,10
2025-07-24 17:55:00,2025-07-24,17:55,17,Thursday,19,空いています（~10人）,5,0,10
2025-07-24 18:50:00,2025-07-24,18:50,18,Thursday,27,少し混んでいます（~30人）,3,21,30
2025-07-24 19:05:00,2025-07-24,19:05,19,Thursday,20,空いています（~10人）,5,0,10
2025-07-24 19:30:00,2025-07-24,19:30,19,Thursday,22,少し混んでいます（~30人）,3,21,30
2025-07-27 07:30:00,2025-07-27,07:30,7,Sunday,10,空いています（~10人）,5,0,10
2025-07-27 08:40:00,2025-07-27,08:40,8,Sunday,9,空いています（~10人）,5,0,10
2025-07-27 08:55:00,2025-07-27,08:55,8,Sunday,20,空いています（~10人）,5,0,10
2025-07-27 09:25:00,2025-07-27,09:25,9,Sunday,5,空いています（~10人）,5,0,10
2025-07-27 09:25:00,2025-07-27,09:25,9,Sunday,13,空いています（~10人）,5,0,10
2025-07-27 09:40:00,2025-07-27,09:40,9,Sunday,11,空いています（~10人）,5,0,10
2025-07-27 10:15:00,2025-07-27,10:15,10,Sunday,13,空いています（~10人）,5,0,10
2025-07-27 11:10:00,2025-07-27,11:10,11,Sunday,9,空いています（~10人）,5,0,10
2025-07-27 13:40:00,2025-07-27,13:40,13,Sunday,14,空いています（~10人）,5,0,10
2025-07-27 14:25:00,2025-07-27,14:25,14,Sunday,19,空いています（~10人）,5,0,10
2025-07-27 15:00:00,2025-07-27,15:00,15,Sunday,19,空いています（~10人）,5,0,10
2025-07-27 15:00:00,2025-07-27,15:00,15,Sunday,23,少し混んでいます（~30人）,3,21,30
2025-07-27 15:20:00,2025-07-27,15:20,15,Sunday,23,少し混んでいます（~30人）,3,21,30
2025-07-27 16:35:00,2025-07-27,16:35,16,Sunday,32,混んでいます（~40人）,2,31,40
2025-07-27 16:45:00,2025-07-27,16:45,16,Sunday,27,少し混んでいます（~30人）,3,21,30
2025-07-27 16:50:00,2025-07-27,16:50,16,Sunday,15,空いています（~10人）,5,0,10
2025-07-27 17:05:00,2025-07-27,17:05,17,Sunday,23,少し混んでいます（~30人）,3,21,30
2025-07-27 17:20:00,2025-07-27,17:20,17,Sunday,18,空いています（~10人）,5,0,10
2025-07-27 17:25:00,2025-07-27,17:25,17,Sunday,18,空いています（~10人）,5,0,10
2025-07-27 17:55:00,2025-07-27,17:55,17,Sunday,19,空いています（~10人）,5,0,10
2025-07-27 18:40:00,2025-07-27,18:40,18,Sunday,34,混んでいます（~40人）,2,31,40
2025-07-27 18:50:00,2025-07-27,18:50,18,Sunday,27,少し混んでいます（~30人）,3,21,30
2025-07-27 19:00:00,2025-07-27,19:00,19,Sunday,30,少し混んでいます（~30人）,3,21,30
2025-07-27 19:05:00,2025-07-27,19:05,19,Sunday,20,空いています（~10人）,5,0,10
2025-07-27 19:30:00,2025-07-27,19:30,19,Sunday,22,少し混んでいます（~30人）,3,21,30
2025-07-29 09:15:00,2025-07-29,09:15,9,Tuesday,12,やや空いています（~20人）,4,11,20
2025-07-29 14:30:00,2025-07-29,14:30,14,Tuesday,28,少し混んでいます（~30人）,3,21,30
2025-07-29 19:45:00,2025-07-29,19:45,19,Tuesday,15,やや空いています（~20人）,4,11,20
2025-07-30 09:15:00,2025-07-30,09:15,9,Wednesday,12,やや空いています（~20人）,4,11,20
2025-07-30 14:30:00,2025-07-30,14:30,14,Wednesday,28,少し混んでいます（~30人）,3,21,30
2025-07-30 19:45:00,2025-07-30,19:45,19,Wednesday,15,やや空いています（~20人）,4,11,20
2025-07-31 09:15:00,2025-07-31,09:15,9,Thursday,12,やや空いています（~20人）,4,11,20
2025-07-31 14:30:00,2025-07-31,14:30,14,Thursday,28,少し混んでいます（~30人）,3,21,30
2025-07-31 19:45:00,2025-07-31,19:45,19,Thursday,15,やや空いています（~20人）,4,11,20
2025-08-01 09:15:00,2025-08-01,09:15,9,Friday,12,やや空いています（~20人）,4,11,20
2025-08-01 14:30:00,2025-08-01,14:30,14,Friday,28,少し混んでいます（~30人）,3,21,30
2025-08-01 19:45:00,2025-08-01,19:45,19,Friday,15,やや空いています（~20人）,4,11,20
2025-08-02 09:15:00,2025-08-02,09:15,9,Saturday,12,やや空いています（~20人）,4,11,20
2025-08-02 14:30:00,2025-08-02,14:30,14,Saturday,28,少し混んでいます（~30人）,3,21,30
2025-08-02 19:45:00,2025-08-02,19:45,19,Saturday,15,やや空いています（~20人）,4,11,20
2025-08-03 09:15:00,2025-08-03,09:15,9,Sunday,12,やや空いています（~20人）,4,11,20
2025-08-03 14:30:00,2025-08-03,14:30,14,Sunday,28,少し混んでいます（~30人）,3,21,30
2025-08-03 19:45:00,2025-08-03,19:45,19,Sunday,15,やや空いています（~20人）,4,11,20
2025-08-04 08:30:00,2025-08-04,08:30,8,Monday,15,やや空いています（~20人）,4,11,20
2025-08-04 09:15:00,2025-08-04,09:15,9,Monday,12,やや空いています（~20人）,4,11,20
2025-08-04 12:00:00,2025-08-04,12:00,12,Monday,25,少し混んでいます（~30人）,3,21,30
2025-08-04 14:30:00,2025-08-04,14:30,14,Monday,8,空いています（~10人）,5,0,10
2025-08-04 14:30:00,2025-08-04,14:30,14,Monday,28,少し混んでいます（~30人）,3,21,30
2025-08-04 18:00:00,2025-08-04,18:00,18,Monday,30,少し混んでいます（~30人）,3,21,30
2025-08-04 19:45:00,2025-08-04,19:45,19,Monday,15,やや空いています（~20人）,4,11,20
2025-08-04 20:15:00,2025-08-04,20:15,20,Monday,12,やや空いています（~20人）,4,11,20
2025-08-05 08:20:00,2025-08-05,08:20,8,Tuesday,9,空いています（~10人）,5,0,10
2025-08-05 08:25:00,2025-08-05,08:25,8,Tuesday,5,空いています（~10人）,5,0,10
2025-08-05 09:25:00,2025-08-05,09:25,9,Tuesday,5,空いています（~10人）,5,0,10
2025-08-05 09:55:00,2025-08-05,09:55,9,Tuesday,25,少し混んでいます（~30人）,3,21,30
2025-08-05 13:05:00,2025-08-05,13:05,13,Tuesday,16,やや空いています（~20人）,4,11,20
2025-08-05 14:25:00,2025-08-05,14:25,14,Tuesday,29,少し混んでいます（~30人）,3,21,30
2025-08-05 14:50:00,2025-08-05,14:50,14,Tuesday,18,やや空いています（~20人）,4,11,20
2025-08-05 15:10:00,2025-08-05,15:10,15,Tuesday,17,やや空いています（~20人）,4,11,20
2025-08-05 15:40:00,2025-08-05,15:40,15,Tuesday,21,少し混んでいます（~30人）,3,21,30
2025-08-05 16:15:00,2025-08-05,16:15,16,Tuesday,25,少し混んでいます（~30人）,3,21,30
2025-08-05 16:40:00,2025-08-05,16:40,16,Tuesday,15,空いています（~10人）,5,0,10
2025-08-05 16:55:00,2025-08-05,16:55,16,Tuesday,26,少し混んでいます（~30人）,3,21,30
2025-08-05 17:00:00,2025-08-05,17:00,17,Tuesday,26,少し混んでいます（~30人）,3,21,30
2025-08-05 17:10:00,2025-08-05,17:10,17,Tuesday,14,やや空いています（~20人）,4,11,20
2025-08-05 17:20:00,2025-08-05,17:20,17,Tuesday,38,混んでいます（~40人）,2,31,40
2025-08-05 17:50:00,2025-08-05,17:50,17,Tuesday,23,少し混んでいます（~30人）,3,21,30
2025-08-05 18:00:00,2025-08-05,18:00,18,Tuesday,30,少し混んでいます（~30人）,3,21,30
2025-08-05 18:20:00,2025-08-05,18:20,18,Tuesday,33,混んでいます（~40人）,2,31,40
2025-08-05 18:30:00,2025-08-05,18:30,18,Tuesday,34,混んでいます（~40人）,2,31,40
2025-08-05 18:50:00,2025-08-05,18:50,18,Tuesday,29,少し混んでいます（~30人）,3,21,30
